,number_of_operators,number_of_available_trolleys,serving_customer,describe_the_accident,maximum_number_of_vehicles_in_the_traffic_jam,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,picture_of_the_parked_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,garage_blocking,accident,noise,traffic_congestion
136,1.0,0.0,0,0,0,"64 Calle Gustavo Díaz Ordaz
Heroica Puebla de Zaragoza Puebla 72210
México",2022-11-09 23:13:43 UTC,Benjamin Barbosa,SRID=4326;POINT(-98.1732126 19.0744375),19.0744375,-98.1732126,14:15,SM29511,DIAGONAL,Delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=fd1731a1-073c-4206-bbad-41af9665bcf3,Street - next to the curbside,no,no,Rear,no,no,no,no
137,1.0,0.0,0,0,0,"9002 Avenida Montes Urales
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 23:13:42 UTC,Benjamin Barbosa,SRID=4326;POINT(-98.1669184193 19.0716791683),19.07167917,-98.16691842,09:39,LC41549,No,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=6dbb3efb-1e8a-4581-9702-6755ee705569,Street - next to the curbside,no,no,Rear,no,no,no,no
138,1.0,0.0,0,0,0,"502 Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72836
MX",2022-11-09 23:06:35 UTC,Juan Spínola,SRID=4326;POINT(-98.2493552651 19.0270377923),19.02703779,-98.24935527,16:01,SP01196,0,Delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=78ac95a9-8f4b-434d-b69d-6bf394a89887,Double lane,no,no,Rear,no,no,no,no
139,1.0,0.0,0,0,0,"9002–9026 Avenida Montes Urales
Puebla de Zaragoza PUE 72220
MX",2022-11-09 22:54:24 UTC,Pedro Contreras,SRID=4326;POINT(-98.1667601887 19.0719245551),19.07192456,-98.16676019,15:34,HB-1797-D,0,Delivery,Pick-up,https://web.fulcrumapp.com/photos/view?photos=71e698ee-cabb-46d1-8b29-172b3619a65d,Street - next to the curbside,no,no,Side,no,no,no,no
140,2.0,0.0,0,0,0,"2036 Pirineos
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:33 UTC,Alejandro Matias,SRID=4326;POINT(-98.1674194 19.0747741),19.0747741,-98.1674194,15:17,SL-51-096,0,Sales & delivery,Automobile,https://web.fulcrumapp.com/photos/view?photos=57a87527-e726-4c39-a082-6eea60665a5d,Street - next to the curbside,no,no,Side,no,no,no,no
141,1.0,0.0,0,0,0,"2013 Privada Sierra Tarahumara
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:32 UTC,Alejandro Matias,SRID=4326;POINT(-98.1694718 19.0726389),19.0726389,-98.1694718,15:04,SN-56-425,RojoTomate,Sales & delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=51322add-15c7-4da4-9910-840792af9ee1,Street - next to the curbside,no,no,Rear,yes,no,no,no
142,1.0,0.0,0,0,0,0,2022-11-09 22:53:32 UTC,Alejandro Matias,SRID=4326;POINT(-98.1734403 19.0746375),19.0746375,-98.1734403,13:50,SP-27-463,MiCaja,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=3f98095b-929e-424e-84c0-f217afc1579f,Street - next to the curbside,no,no,Rear,no,no,no,no
143,2.0,1.0,0,0,0,"2225 Cordillera Central
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:31 UTC,Alejandro Matias,SRID=4326;POINT(-98.1673744 19.0722369),19.0722369,-98.1673744,12:49,XV-58-304,Pepsi,Delivery,Heavy duty truck,https://web.fulcrumapp.com/photos/view?photos=83a5f4ab-e9e7-4574-bfb7-57ae6eb3fe30,Street - next to the curbside,no,no,Side,no,no,no,no
144,1.0,0.0,0,0,0,"9002b Avenida Montes Urales
Heroica Puebla de Zaragoza Puebla 72220
México",2022-11-09 22:53:31 UTC,Alejandro Matias,SRID=4326;POINT(-98.1666132 19.0720063),19.0720063,-98.1666132,12:37,SN-29-824,0,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=79eb3e1d-446a-4ee5-92eb-d8c329cee12c,Street - next to the curbside,no,no,Rear,no,no,no,no
145,2.0,2.0,0,0,0,"Avenida Venustiano Carranza
San Bernardino Tlaxcalancingo PUE 72835
MX",2022-11-09 22:22:20 UTC,Luis Lara,SRID=4326;POINT(-98.2490182389 19.0251449542),19.02514495,-98.24901824,16:12,SP-14-374,Pepsi ,Delivery,Light truck or Van,https://web.fulcrumapp.com/photos/view?photos=76f3abb9-8a70-409b-81bd-699d7bf819bb,Street - next to the curbside,no,no,Side,no,no,no,no
