,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,_title,_server_updated_at,_updated_by,_geometry,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,238_frequency_buying_store,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible
23,2.0,2.0,5.0,0.0,35.1,150.0,18.0,"November 3, 2022",2022-11-10 00:58:39 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2641572133 19.0345641171),Efectivo,yes,0,más de 10 cuadras,Transporte público,2,0,No lo hago,yes,No lo hago,yes,No lo hago,yes,No lo hago,yes,No lo hago,no,no,0,Male,Grocery store (aka. nanostore),Minisuper Rayitas,1 Photo
24,1.0,1.0,0.0,0.0,100.0,150.0,18.0,"November 3, 2022",2022-11-10 00:58:39 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2666610554 19.0351390524),Efectivo,yes,0,más de 10 cuadras,Transporte público,1,0,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,0,Male,Grocery store (aka. nanostore),La Universal,1 Photo
25,1.0,1.0,0.0,0.0,100.0,100.0,15.0,"November 3, 2022",2022-11-10 00:58:38 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2671411708 19.0352819935),Tarjeta de débito y/o crédito,yes,0,más de 10 cuadras,Automóvil,1,0,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,0,Male,Micro-restaurant (aka. fondita),Taquería Don Jorge,1 Photo
26,1.0,0.0,0.0,0.0,50.0,30.0,28.7,"November 7, 2022",2022-11-10 00:01:22 UTC,Leoncio Mora Díaz,SRID=4326;POINT(-98.2488074989 19.0315343616),Tarjeta de débito y/o crédito,yes,0,0 a 3 cuadras,A pie,1,0,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,Banco,no,no,0,Male,Grocery store (aka. nanostore),Aren salón de belleza ,1 Photo
27,5.0,1.8,2.0,0.0,39.0,0.0,35.0,"November 7, 2022",2022-11-10 00:01:22 UTC,Leoncio Mora Díaz,SRID=4326;POINT(-98.2492553477 19.0258156295),Transferencia interbancaria,yes,0,7 a 10 cuadras,Automóvil,5,0,App,yes,App,yes,Automático ,yes,Plan ,yes,Banco,yes,no,0,Female,Micro-restaurant (aka. fondita),Con sabor a hogar ,1 Photo
28,1.0,2.0,2.0,0.0,25.0,25.0,18.0,"November 7, 2022",2022-11-10 00:00:57 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2488052547 19.0319169806),Tarjeta de débito y/o crédito,yes,0,más de 10 cuadras,Automóvil,1,0,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Tienda de conveniencia (e.g. OXXO)",yes,no,0,Male,Grocery store (aka. nanostore),SIX,0
29,1.0,1.0,1.0,2.0,15.0,60.0,20.0,"November 7, 2022",2022-11-10 00:00:56 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2489068434 19.0313727784),Efectivo,yes,0,más de 10 cuadras,Transporte público,1,0,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,yes,Pago con tarjeta,Male,Cafeteria,Tortas el primo ,1 Photo
30,1.0,5.0,6.0,0.2,35.1,200.0,38.0,"November 7, 2022",2022-11-10 00:00:56 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2494191453 19.0267601411),Tarjeta de débito y/o crédito,yes,0,7 a 10 cuadras,Automóvil,1,0,CFE,no,"Sistema de agua,Tienda de conveniencia (e.g. OXXO)",no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,0,Male,Cafeteria,DON MOY,1 Photo
31,1.9,0.0,0.0,0.0,50.0,50.0,65.0,"November 7, 2022",2022-11-10 00:00:53 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2502124086 19.0265566535),Efectivo,yes,0,0 a 3 cuadras,A pie,7,0,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Banco,yes,no,0,Female,Grocery store (aka. nanostore),"FRUTAS, VERDURAS Y ABARROTES D’NYS",1 Photo
32,4.0,1.0,0.0,0.0,50.0,100.0,42.0,"November 7, 2022",2022-11-10 00:00:52 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2492511719 19.0256704332),Efectivo,yes,0,7 a 10 cuadras,Automóvil,4,0,"CFE,Celular (aplicación)",yes,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),no,yes,Servicio de recarga ,Female,Produce (fruits & vegetables),ABARROTES FRUTAS Y VERDURAS “HERNÁNDEZ”,1 Photo
